Job Name ,Job Link,Job Description,Job Location,Company Name
Accountant,https://wuzzuf.net/jobs/p/xIeJM54jJoMD-Accountant-PDEX-Company-Cairo-Egypt,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · excel · MS Office · Data Entry · Auditing · Analysis · Finance · Financial Analysis,"Nasr City, Cairo, Egypt ",PDEX Company -
English call center is hiring (Graduates Only),https://wuzzuf.net/jobs/p/MRAOzEd5XiDL-English-call-center-is-hiring-Graduates-Only-VOIS-Egypt-Cairo-Egypt,Full TimeShift BasedHybridEntry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,"Cairo, Egypt ",_VOIS Egypt -
ERP Specialist,https://wuzzuf.net/jobs/p/lBUBfxDBlmd6-ERP-Specialist-Orchidia-Pharmaceutical-Industries-Cairo-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analysis · Accounting · ERP · Data Analysis · Consulting · business,"Obour City, Cairo, Egypt ",Orchidia Pharmaceutical Industries -
Data Annotation Team Lead,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence,"Cairo, Egypt ",Eg Insurtech -
Industrial Quality Internship - Alexandria,https://wuzzuf.net/internship/y8oJgnvZYAGE-Industrial-Quality-Internship---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · Quality · Engineering - Mechanical/Electrical · industrial Quality · Data Analysis · Reporting · Engineering · Mechanical · Electromechanical Engineering · quality · Quality Assurance,"Ameria, Alexandria, Egypt ",Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -
Senior Technical Offer and Quotation Officer,https://wuzzuf.net/jobs/p/y3SOjv1dOvgE-Senior-Technical-Offer-and-Quotation-Officer-Luminary-for-Marketing-and-Advertisement-Cairo-Egypt,Full TimeOn-siteManager · 5 - 10 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Engineering - Mechanical/Electrical · Audit · Data Analysis · QC · Procurement · Request For Quotation · Submittals · Odoo ERP,"Sheraton, Cairo, Egypt ",Luminary for Marketing and Advertisement  -
Data Analyst,https://wuzzuf.net/jobs/p/HuI799zbHggN-Data-Analyst-Qalubia-Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Analyst · Analysis · Data Analysis · Data Analyst · analytical,"Qalyub, Qalubia, Egypt ",Confidential -
Research And Development Pharmacist,https://wuzzuf.net/jobs/p/TPd6D576OO1q-Research-And-Development-Pharmacist-MedicZone-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · R&D/Science · Analyst/Research · Pharmaceutical · Business Development · Communication skills · Data Analysis · Pharmaceutical · Pharmacy · Analysis · Communication,"New Cairo, Cairo, Egypt ",MedicZone -
Accounting Manager,https://wuzzuf.net/jobs/p/8B0QIlgfgsCs-Accounting-Manager-Cairo-Egypt,Full TimeOn-siteManager · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Accounting · Transactions · Financial Management · Financial Reports · Financial · accounting data,"Nasr City, Cairo, Egypt ",Confidential -
Accounting Internship.,https://wuzzuf.net/internship/djIhOV5p86WX-Accounting-Internship-Allianz-Cairo-Egypt,InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · drafting · inserting data · accountant,"New Cairo, Cairo, Egypt ",Allianz -
Market Research Analyst,https://wuzzuf.net/jobs/p/rGNhrM9VM6bH-Market-Research-Analyst-Lasirena-Group-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Analysis · Data Analysis · E-Marketing · Research · Real Estate · Marketing · Market Research,"Maadi, Cairo, Egypt ",Lasirena Group -
IT Manager,https://wuzzuf.net/jobs/p/Pj3JjXifPnY2-IT-Manager-Cairo-Egypt,Full TimeOn-siteManager · 15 - 20 Yrs of Exp · IT/Software Development · Odoo · IT · ERP · Project Management · Computer Engineering · Networks · IT Infrastructure · Data Security · Firewalls,"Nasr City, Cairo, Egypt ",Confidential -
